SAFE 0xfff faults 0 on /dev/ttyACM0
channel  raw_avg  raw_min  raw_max  millivolts
      0  1305.10     1296     1312     1051.44
      1  1165.89     1158     1180      939.30
      2  1072.37     1060     1092      863.94
      3  1036.54     1017     1060      835.10
      4   995.00      971     1067      801.60
      5  1273.76     1267     1280     1026.18
      6  2743.37     2738     2748     2210.34
      7  2266.99     2252     2282     1826.38
      8  1959.86     1933     1990     1579.00
      9  1671.61     1624     1721     1346.77
     10   414.66      411      419      334.14
     11   371.31      368      374      299.28
     12   636.09      624      651      512.48
     13   784.21      712      817      631.82
     14   834.90      803      869      672.65
     15  1267.54     1261     1271     1021.32
SAFE 0xfff faults 0
Appended 16 rows to firmware/odesc-v42/diagnostics/adc-probe-2026-08-10/adc-scan.csv
