label,channel,raw_avg,raw_min,raw_max,millivolts_avg
24V,0,1273.34,1267,1280,1025.87
24V,1,1209.36,1171,1222,974.27
24V,2,1130.69,1076,1143,910.95
24V,3,1114.52,1068,1136,897.94
24V,4,1098.99,1023,1131,885.41
24V,5,1315.63,1310,1320,1059.84
24V,6,2743.51,2739,2747,2210.39
24V,7,2267.07,2253,2279,1826.52
24V,8,1955.85,1934,1984,1575.78
24V,9,1673.56,1634,1710,1348.34
24V,10,411.95,409,416,331.93
24V,11,367.81,363,371,296.15
24V,12,631.65,618,648,508.98
24V,13,770.32,717,813,620.6
24V,14,827.39,804,849,666.55
24V,15,1307.04,1302,1312,1053.04
24.7V,0,1305.1,1296,1312,1051.44
24.7V,1,1165.89,1158,1180,939.3
24.7V,2,1072.37,1060,1092,863.94
24.7V,3,1036.54,1017,1060,835.1
24.7V,4,995.0,971,1067,801.6
24.7V,5,1273.76,1267,1280,1026.18
24.7V,6,2743.37,2738,2748,2210.34
24.7V,7,2266.99,2252,2282,1826.38
24.7V,8,1959.86,1933,1990,1579.0
24.7V,9,1671.61,1624,1721,1346.77
24.7V,10,414.66,411,419,334.14
24.7V,11,371.31,368,374,299.28
24.7V,12,636.09,624,651,512.48
24.7V,13,784.21,712,817,631.82
24.7V,14,834.9,803,869,672.65
24.7V,15,1267.54,1261,1271,1021.32
42.5V,0,1285.73,1281,1292,1035.83
42.5V,1,1146.21,1138,1157,923.42
42.5V,2,1128.74,1085,1139,909.41
42.5V,3,1111.07,1023,1126,895.09
42.5V,4,1088.0,979,1112,876.52
42.5V,5,1264.86,1258,1268,1019.03
42.5V,6,4095.0,4095,4095,3299.0
42.5V,7,3292.56,3287,3298,2652.61
42.5V,8,2624.74,2611,2640,2114.65
42.5V,9,2191.24,2174,2213,1765.45
42.5V,10,430.72,428,434,346.85
42.5V,11,378.4,376,381,304.97
42.5V,12,643.39,634,656,518.25
42.5V,13,740.7,709,813,596.81
42.5V,14,827.6,804,852,666.71
42.5V,15,1255.85,1251,1260,1011.85
