SAFE 0xfff faults 0 on /dev/ttyACM0
channel  raw_avg  raw_min  raw_max  millivolts
      0  1273.34     1267     1280     1025.87
      1  1209.36     1171     1222      974.27
      2  1130.69     1076     1143      910.95
      3  1114.52     1068     1136      897.94
      4  1098.99     1023     1131      885.41
      5  1315.63     1310     1320     1059.84
      6  2743.51     2739     2747     2210.39
      7  2267.07     2253     2279     1826.52
      8  1955.85     1934     1984     1575.78
      9  1673.56     1634     1710     1348.34
     10   411.95      409      416      331.93
     11   367.81      363      371      296.15
     12   631.65      618      648      508.98
     13   770.32      717      813      620.60
     14   827.39      804      849      666.55
     15  1307.04     1302     1312     1053.04
SAFE 0xfff faults 0
Appended 16 rows to firmware/odesc-v42/diagnostics/adc-probe-2026-08-10/adc-scan.csv
